alpha2,2015,2016,2017,2018,2019,2020,2021
CL,0.0045160461691095295,0.004599799845419702,0.004086341606221738,0.004001275447254839,0.0039793527424129595,0.0039793527424129595,0.0039793527424129595
CN,0.2262050162520249,0.22173305685912187,0.2023016091447159,0.19624652802362372,0.19356643321558695,0.19356643321558695,0.19356643321558695
CI,0.002928111309187315,0.002967773329517507,0.0028789777129053697,0.0030460843679993373,0.0023909307780023035,0.0023909307780023035,0.0023909307780023035
CM,0.0015801752038882152,0.0016783559930793122,0.0015317641725344168,0.0015183071579281439,0.001531296367277087,0.001531296367277087,0.001531296367277087
CD,0.0009502097346589975,0.0014791623782663642,0.0018855261598003414,0.0018804796373445597,0.001908035036294028,0.001908035036294028,0.001908035036294028
CG,0.00012129405249626139,0.00012230292050340434,0.00011879801664914431,0.0001177183250072645,0.00011870007159837161,0.00011870007159837161,0.00011870007159837161
CO,0.008712850995998986,0.008467030029206327,0.008183087982725708,0.00802342118465071,0.008346020632957508,0.008346020632957508,0.008346020632957508
KM,1.9018443643980286e-05,1.9093215344796616e-05,1.8543060892907085e-05,1.8311702183478417e-05,1.8398613261476122e-05,1.8398613261476122e-05,1.8398613261476122e-05
CV,7.345107764789535e-05,8.080510044829638e-05,8.256514428748568e-05,8.208382494564332e-05,8.158916128967638e-05,8.158916128967638e-05,8.158916128967638e-05
CR,0.0009501770800398539,0.0009757853904826925,0.0009496333014581374,0.0009611640223167792,0.0010453533205394155,0.0010453533205394155,0.0010453533205394155
CU,0.0013855593334348214,0.0014727839320506832,0.0017414109668582318,0.001681438689735192,0.0017873865477429746,0.0017873865477429746,0.0017873865477429746
CW,3.2390110860510814e-05,2.9856946419846135e-05,2.9324309654966256e-05,2.825091619138643e-05,2.7372688779199442e-05,2.7372688779199442e-05,2.7372688779199442e-05
KY,1.5587335927866807e-05,1.4943294892458123e-05,1.3807858091668591e-05,1.3500261579892684e-05,1.342842956898766e-05,1.342842956898766e-05,1.342842956898766e-05
CY,0.00027306696852929944,0.00026850863144146887,0.0002559662453774326,0.00026057285195665294,0.0002630851382371022,0.0002630851382371022,0.0002630851382371022
CZ,0.002617183362186201,0.0024430874201990965,0.002241151006393555,0.0022257458486210123,0.0022005688537550874,0.0022005688537550874,0.0022005688537550874
DE,0.023465592286531046,0.020953144377607612,0.018746123071873875,0.019306420078771244,0.018686584971967797,0.018686584971967797,0.018686584971967797
DJ,3.5738281508868505e-05,3.689392849042528e-05,0.00014126653343048574,0.00013855676812519276,0.00013825615040234622,0.00013825615040234622,0.00013825615040234622
DM,1.5174582508470315e-05,1.444978703651587e-05,1.336889549900493e-05,1.2939932304275948e-05,1.2750187470906935e-05,1.2750187470906935e-05,1.2750187470906935e-05
DK,0.0017955830089576297,0.0016791572604974395,0.0015042737447543714,0.00146802456968391,0.0014549840709716295,0.0014549840709716295,0.0014549840709716295
DO,0.0018281720332334799,0.002007715520559061,0.001909001334051923,0.0020634564530354997,0.0020493512379937124,0.0020493512379937124,0.0020493512379937124
DZ,0.004977226970262548,0.005264821124925748,0.005304407432990271,0.006528876578786007,0.0065420501341740605,0.0065420501341740605,0.0065420501341740605
EC,0.0026021465555143316,0.002695314328024081,0.0025833727618035274,0.0025390878413408063,0.002537738253223752,0.002537738253223752,0.002537738253223752
EG,0.011466045073391213,0.01177748362060197,0.011649654115927055,0.01198484021945203,0.014666237252926146,0.014666237252926146,0.014666237252926146
ER,1.142326605771532e-05,1.14372835791272e-05,1.1304839447001633e-05,1.0916592433565941e-05,1.0729104285078769e-05,1.0729104285078769e-05,1.0729104285078769e-05
ES,0.011986208868906181,0.011321151421426848,0.010592953235072793,0.01045682161117977,0.010892189018150438,0.010892189018150438,0.010892189018150438
EE,0.0003814056944978689,0.00034702702381512557,0.0003118983956805129,0.00030654038660383304,0.00030292007274579044,0.00030292007274579044,0.00030292007274579044
ET,0.004581979922022628,0.004813054265793059,0.005323406232935044,0.005277046004783755,0.005321942178978904,0.005321942178978904,0.005321942178978904
FI,0.0015530853060515286,0.0014570321192332366,0.0012947233899241774,0.0012722573995704626,0.0012615929392079176,0.0012615929392079176,0.0012615929392079176
FJ,0.00012107357383836555,0.000122657341197561,0.00011781956566477955,0.00011455432203075055,0.00011341140316482732,0.00011341140316482732,0.00011341140316482732
FR,0.0170260603438661,0.015990077723275212,0.014464942354864353,0.014257165429028143,0.014253658257945593,0.014253658257945593,0.014253658257945593
FO,1.4845008153326707e-05,1.3851091565899047e-05,1.2673834168441856e-05,1.2280606365390366e-05,1.2114738196742315e-05,1.2114738196742315e-05,1.2114738196742315e-05
FM,1.1250213542983911e-05,1.1112844901502712e-05,1.0574328819320118e-05,1.031936581531817e-05,1.0247932101871898e-05,1.0247932101871898e-05,1.0247932101871898e-05
GA,0.0002924586868468313,0.0002916825722639157,0.00034402265473770967,0.0003409684743209927,0.00034354122414522234,0.00034354122414522234,0.00034354122414522234
GB,0.01964741986064145,0.018799145226223928,0.01679679941687556,0.016366240052799717,0.015769987244187073,0.015769987244187073,0.015769987244187073
GE,0.0005811883327867966,0.0006587671083413399,0.0005981405332310796,0.0006185985588267349,0.0006532542663102896,0.0006532542663102896,0.0006532542663102896
GH,0.002283389071222732,0.00298492520381898,0.003052041536140118,0.003012565318013277,0.0030255532335919867,0.0030255532335919867,0.0030255532335919867
GI,7.193622140341987e-06,9.632592641966321e-06,8.560118665262998e-06,8.263683967605457e-06,8.117663628257878e-06,8.117663628257878e-06,8.117663628257878e-06
